,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
0,Washington,25.0,25.0,35.7,8.4,17.6,0.47600000000000003,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,2.5,3.2,23.2,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,Drafted,2016-17
1,UCLA,36.0,36.0,35.1,5.3,9.5,0.551,2.2,5.4,0.41200000000000003,1.8,2.7,0.6729999999999999,0.9,5.1,6.0,7.6,1.8,0.8,1.8,2.5,14.6,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,Drafted,2016-17
2,Duke,29.0,27.0,33.3,5.7,12.6,0.452,1.4,4.0,0.342,4.1,4.8,0.8490000000000001,1.3,6.0,7.3,2.1,1.3,1.1,3.0,2.6,16.8,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,Drafted,2016-17
3,Kansas,35.0,35.0,30.8,6.3,12.3,0.513,1.0,2.6,0.37799999999999995,2.8,4.9,0.5660000000000001,2.3,5.1,7.4,3.0,1.7,1.1,3.0,2.8,16.3,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,Drafted,2016-17
4,Kentucky,36.0,34.0,29.6,5.9,12.4,0.479,0.5,1.9,0.24600000000000002,4.3,5.9,0.736,0.6,3.4,4.0,4.6,1.5,0.2,2.5,2.4,16.7,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,Drafted,2016-17
5,Florida State,32.0,32.0,26.2,4.1,8.0,0.508,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,2.2,1.5,12.0,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,Drafted,2016-17
6,Arizona,37.0,37.0,30.8,5.0,10.2,0.49200000000000005,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,2.0,1.1,15.6,https://www.sports-reference.com/cbb/players/lauri-markkanen-1.html,Drafted,2016-17
7,NC State,32.0,32.0,34.8,6.0,13.1,0.455,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,2.1,3.4,18.1,https://www.sports-reference.com/cbb/players/dennis-smithjr-1.html,Drafted,2016-17
8,Duke,36.0,11.0,26.7,3.9,9.3,0.42100000000000004,1.5,4.8,0.32,2.4,2.8,0.889,1.0,2.6,3.6,1.5,0.9,0.2,1.9,0.8,11.8,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,Drafted,2015-16
9,Duke,37.0,36.0,35.5,6.4,13.1,0.489,2.4,5.4,0.43799999999999994,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,2.2,1.6,19.5,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,Drafted,2016-17
10,Louisville,31.0,5.0,19.1,2.7,6.1,0.442,0.6,2.3,0.25,1.4,1.8,0.754,1.1,2.3,3.4,1.7,0.8,0.1,2.5,1.0,7.4,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,Drafted,2015-16
11,Louisville,34.0,33.0,32.3,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.8059999999999999,1.1,3.8,4.9,2.7,2.1,0.5,2.6,1.6,15.6,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,Drafted,2016-17
12,Kentucky,38.0,38.0,30.1,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,2.6,1.7,13.0,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,Drafted,2016-17
13,Creighton,35.0,34.0,25.3,5.7,8.5,0.6759999999999999,0.2,0.4,0.5329999999999999,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,2.7,1.7,12.9,https://www.sports-reference.com/cbb/players/justin-patton-1.html,Drafted,2016-17
14,Michigan,5.0,0.0,4.8,0.2,0.8,0.25,0.0,0.2,0.0,0.0,0.0,,0.2,1.0,1.2,0.0,0.0,0.6,0.8,0.2,0.4,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2014-15
15,Michigan,26.0,0.0,6.1,1.0,2.2,0.474,0.3,0.9,0.33299999999999996,0.3,0.4,0.727,0.2,0.5,0.7,0.3,0.2,0.4,0.8,0.3,2.7,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2015-16
16,Michigan,38.0,36.0,30.4,4.3,8.0,0.5379999999999999,1.1,2.9,0.373,1.3,1.6,0.833,1.5,3.8,5.3,1.3,0.5,1.5,1.9,1.1,11.0,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2016-17
17,UCLA,35.0,35.0,29.9,6.7,10.9,0.617,0.8,1.7,0.466,2.1,3.0,0.679,2.2,6.0,8.2,2.4,0.6,1.1,2.5,1.5,16.3,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,Drafted,2016-17
18,Wake Forest,31.0,1.0,14.4,2.6,4.8,0.547,0.0,0.0,,2.1,3.0,0.691,1.7,2.3,3.9,0.2,0.3,0.7,2.6,1.0,7.3,https://www.sports-reference.com/cbb/players/john-collins-1.html,Drafted,2015-16
19,Wake Forest,33.0,33.0,26.6,7.1,11.4,0.622,0.0,0.0,0.0,5.0,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,3.0,1.8,19.2,https://www.sports-reference.com/cbb/players/john-collins-1.html,Drafted,2016-17
20,Duke,26.0,6.0,11.5,1.7,3.0,0.5770000000000001,0.0,0.0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,2.2,0.7,3.9,https://www.sports-reference.com/cbb/players/harry-giles-1.html,Drafted,2016-17
21,Texas,33.0,33.0,32.2,5.4,9.6,0.5660000000000001,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.1,2.5,13.4,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,Drafted,2016-17
22,Indiana,34.0,0.0,13.7,1.9,3.4,0.569,0.4,0.9,0.44799999999999995,0.6,1.2,0.47600000000000003,1.2,1.4,2.6,0.5,0.8,0.8,1.5,0.8,4.9,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,Drafted,2015-16
23,Indiana,16.0,10.0,25.1,4.3,7.6,0.557,0.9,2.8,0.311,1.7,3.0,0.563,1.8,3.7,5.4,1.4,1.3,1.3,2.1,1.6,11.1,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,Drafted,2016-17
24,Syracuse,37.0,0.0,30.3,3.4,7.2,0.479,1.3,3.3,0.405,1.9,2.5,0.774,1.8,4.5,6.3,1.1,1.1,1.8,2.7,1.3,10.1,https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,Drafted,2015-16
25,Syracuse,34.0,34.0,36.1,4.4,9.4,0.473,1.4,3.6,0.395,2.9,3.4,0.836,2.3,6.3,8.6,2.1,1.0,1.4,2.5,1.7,13.2,https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,Drafted,2016-17
26,Utah,31.0,0.0,8.1,1.2,2.5,0.456,0.4,1.1,0.324,0.6,1.2,0.556,0.3,1.5,1.8,0.6,0.0,0.2,1.0,0.6,3.3,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,Drafted,2014-15
27,Utah,36.0,35.0,24.1,4.3,8.2,0.522,0.4,1.4,0.255,1.8,3.0,0.617,1.8,3.9,5.7,1.4,0.3,0.4,2.0,2.0,10.8,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,Drafted,2015-16
28,Utah,29.0,29.0,30.8,6.3,12.4,0.504,0.9,2.9,0.321,2.9,4.4,0.669,2.8,6.6,9.3,2.4,0.6,0.5,1.6,2.1,16.4,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,Drafted,2016-17
29,UNC,38.0,0.0,14.6,2.7,4.7,0.573,0.0,0.0,,1.7,2.8,0.619,2.6,2.6,5.1,0.6,0.3,0.6,1.8,0.7,7.1,https://www.sports-reference.com/cbb/players/tony-bradley-1.html,Drafted,2016-17
30,Colorado,34.0,32.0,32.8,6.0,11.9,0.507,1.7,4.2,0.396,4.4,5.4,0.813,1.0,3.1,4.1,4.4,1.2,1.4,2.1,2.4,18.1,https://www.sports-reference.com/cbb/players/derrick-white-1.html,Drafted,2016-17
31,Duke,36.0,16.0,24.9,3.7,7.8,0.473,1.4,3.6,0.395,2.1,2.8,0.755,0.6,1.9,2.5,1.7,0.6,0.1,2.4,1.4,10.9,https://www.sports-reference.com/cbb/players/frank-jackson-2.html,Drafted,2016-17
32,Miami (FL),33.0,10.0,20.7,2.2,6.3,0.34299999999999997,1.2,3.4,0.35700000000000004,1.1,1.6,0.6729999999999999,0.4,1.3,1.7,1.2,0.5,0.1,1.7,1.3,6.6,https://www.sports-reference.com/cbb/players/davon-reed-1.html,Drafted,2013-14
33,Miami (FL),30.0,21.0,27.5,2.6,5.5,0.47,1.2,2.7,0.457,1.9,2.6,0.727,0.8,3.2,4.0,1.9,0.9,0.4,2.3,1.1,8.2,https://www.sports-reference.com/cbb/players/davon-reed-1.html,Drafted,2014-15
34,Miami (FL),35.0,35.0,28.8,3.7,7.9,0.469,1.3,3.4,0.38299999999999995,2.4,2.9,0.816,0.6,3.5,4.1,1.2,0.8,0.4,2.1,1.3,11.1,https://www.sports-reference.com/cbb/players/davon-reed-1.html,Drafted,2015-16
35,Miami (FL),33.0,33.0,35.3,4.9,11.3,0.433,2.4,6.0,0.397,2.7,3.3,0.833,0.8,3.9,4.8,2.4,1.3,0.5,1.6,2.0,14.9,https://www.sports-reference.com/cbb/players/davon-reed-1.html,Drafted,2016-17
36,Kansas State,33.0,32.0,23.6,2.2,4.7,0.461,0.2,0.5,0.41200000000000003,2.2,3.4,0.634,1.3,2.9,4.2,1.8,0.6,0.4,2.2,1.3,6.7,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Drafted,2013-14
37,Kansas State,31.0,24.0,25.2,2.0,5.0,0.40399999999999997,0.2,0.6,0.316,1.5,2.5,0.595,1.1,2.4,3.5,2.0,0.7,0.6,2.1,2.0,5.8,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Drafted,2014-15
38,Kansas State,33.0,32.0,32.4,4.2,8.9,0.478,0.2,0.9,0.2,3.3,4.7,0.6920000000000001,1.2,3.4,4.5,3.7,1.3,0.2,2.4,2.9,11.9,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Drafted,2015-16
39,Kansas State,35.0,35.0,31.4,4.3,9.0,0.48100000000000004,0.9,2.4,0.376,3.5,4.5,0.767,1.0,5.3,6.3,3.5,1.0,0.3,1.8,2.3,13.0,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Drafted,2016-17
40,California,34.0,34.0,28.7,4.7,7.7,0.615,0.0,0.1,0.5,3.0,4.5,0.669,2.8,5.8,8.5,0.9,0.5,1.2,3.1,1.5,12.5,https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,Drafted,2015-16
41,California,31.0,30.0,32.6,4.9,10.1,0.484,0.3,0.6,0.4,4.0,6.0,0.6629999999999999,3.0,7.4,10.5,1.5,0.7,1.0,3.1,2.2,14.0,https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,Drafted,2016-17
42,UCLA,31.0,11.0,21.7,1.6,4.0,0.415,0.3,1.2,0.25,1.1,1.5,0.733,1.2,3.7,4.8,1.1,0.7,0.9,2.1,0.8,4.6,https://www.sports-reference.com/cbb/players/jonah-bolden-1.html,Drafted,2015-16
43,23,6.2,0.5,1.4,0.375,0.2,0.4,0.348,0.6,0.8,0.778,0.4,0.8,1.3,0.1,0.3,0.2,0.2,0.7,,2.0,,https://www.sports-reference.com/cbb/players/semi-ojeleye-1.html,Drafted,
44,35,34.1,6.0,12.3,0.48700000000000004,3.9,7.4,0.424,4.9,6.3,0.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,,19.0,,https://www.sports-reference.com/cbb/players/semi-ojeleye-1.html,Drafted,
45,Oregon,35.0,20.0,23.7,2.4,4.0,0.597,0.0,0.0,,0.3,0.6,0.524,1.9,4.2,6.1,1.3,0.8,2.7,2.7,1.1,5.1,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,Drafted,2014-15
46,Oregon,31.0,4.0,20.5,2.9,5.1,0.5760000000000001,0.0,0.1,0.0,0.9,1.7,0.519,1.5,3.8,5.3,1.2,1.1,1.7,2.5,1.6,6.8,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,Drafted,2015-16
47,Oregon,39.0,38.0,28.8,4.4,6.9,0.636,0.1,0.4,0.214,2.1,3.0,0.701,2.9,5.9,8.8,1.8,1.3,2.3,1.7,1.9,10.9,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,Drafted,2016-17
48,Oklahoma State,22.0,20.0,28.9,4.4,9.4,0.47100000000000003,0.9,1.8,0.475,3.2,3.8,0.833,0.5,3.9,4.4,4.9,1.1,0.2,2.5,2.5,12.9,https://www.sports-reference.com/cbb/players/jawun-evans-1.html,Drafted,2015-16
49,Oklahoma State,32.0,32.0,29.3,6.6,15.1,0.43799999999999994,1.1,3.0,0.379,4.8,6.0,0.812,0.8,2.7,3.4,6.4,1.8,0.1,2.3,2.8,19.2,https://www.sports-reference.com/cbb/players/jawun-evans-1.html,Drafted,2016-17
50,Florida State,34.0,32.0,28.8,5.8,13.0,0.447,0.9,3.4,0.281,3.2,4.5,0.7140000000000001,1.4,4.4,5.8,1.5,1.0,0.0,2.1,2.2,15.8,https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,Drafted,2015-16
51,Florida State,35.0,35.0,28.8,6.3,14.0,0.452,1.6,4.9,0.33299999999999996,3.0,3.9,0.754,1.0,3.2,4.2,1.7,1.0,0.1,1.6,2.0,17.2,https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,Drafted,2016-17
52,Oregon,36.0,35.0,30.1,4.3,9.6,0.441,1.9,4.6,0.406,3.1,4.3,0.7120000000000001,1.3,3.0,4.3,2.0,0.8,0.2,2.1,1.9,13.4,https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html,Drafted,2015-16
53,Oregon,39.0,39.0,30.0,4.8,10.4,0.467,2.3,5.3,0.423,2.7,3.6,0.755,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html,Drafted,2016-17
54,Indiana,35.0,35.0,22.6,4.5,6.6,0.6829999999999999,0.1,0.4,0.33299999999999996,2.7,3.9,0.706,2.0,3.8,5.8,1.0,0.5,0.9,2.8,1.7,11.9,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,Drafted,2015-16
55,Indiana,34.0,34.0,28.1,4.4,8.4,0.519,0.7,1.8,0.38299999999999995,3.2,4.4,0.73,2.2,4.4,6.6,1.5,0.8,1.5,3.1,2.3,12.6,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,Drafted,2016-17
56,Oregon,37.0,36.0,27.9,4.4,10.0,0.439,1.3,3.9,0.32899999999999996,1.3,1.8,0.723,0.9,2.6,3.5,0.9,0.9,0.1,1.1,1.4,11.4,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,Drafted,2012-13
57,Oregon,33.0,33.0,23.8,3.5,8.0,0.43799999999999994,0.8,2.5,0.313,1.6,2.0,0.8029999999999999,0.7,2.5,3.2,1.2,0.5,0.2,1.8,1.2,9.4,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,Drafted,2013-14
58,Houston,32.0,32.0,31.0,5.1,10.1,0.506,1.9,5.3,0.36700000000000005,1.7,2.1,0.833,1.9,4.8,6.8,1.3,0.7,0.2,1.9,1.0,13.9,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,Drafted,2015-16
59,Houston,32.0,32.0,34.3,6.3,13.4,0.47,3.4,7.6,0.44299999999999995,1.4,1.7,0.83,1.5,5.4,6.9,1.1,0.9,0.2,1.7,1.0,17.4,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,Drafted,2016-17
60,SMU,37.0,26.0,19.4,1.6,3.5,0.469,0.5,1.3,0.36200000000000004,0.6,1.1,0.5710000000000001,1.2,2.5,3.8,1.1,0.7,0.3,1.6,1.2,4.4,https://www.sports-reference.com/cbb/players/sterling-brown-2.html,Drafted,2013-14
61,SMU,34.0,17.0,23.9,1.9,3.6,0.525,0.6,1.3,0.444,0.9,1.1,0.784,1.5,3.1,4.6,2.1,0.9,0.2,1.9,0.9,5.2,https://www.sports-reference.com/cbb/players/sterling-brown-2.html,Drafted,2014-15
62,SMU,30.0,29.0,27.2,3.6,6.0,0.602,1.0,1.9,0.536,1.8,2.1,0.857,1.3,3.1,4.4,2.6,1.1,0.4,3.0,2.2,10.1,https://www.sports-reference.com/cbb/players/sterling-brown-2.html,Drafted,2015-16
63,SMU,35.0,34.0,32.7,4.6,10.0,0.45899999999999996,1.7,3.9,0.449,2.5,3.1,0.7909999999999999,1.6,4.9,6.5,3.0,1.4,0.5,2.6,2.0,13.4,https://www.sports-reference.com/cbb/players/sterling-brown-2.html,Drafted,2016-17
64,UCLA,29.0,0.0,13.0,2.0,3.5,0.564,0.0,0.0,,0.8,1.5,0.535,1.4,2.6,4.0,0.2,0.2,1.2,2.5,0.8,4.7,https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html,Drafted,2016-17
65,Iowa State,36.0,17.0,28.1,2.1,5.0,0.43,0.8,1.9,0.406,1.7,2.0,0.847,0.5,2.1,2.6,3.7,1.3,0.2,1.7,0.8,6.8,https://www.sports-reference.com/cbb/players/monte-morris-1.html,Drafted,2013-14
66,Iowa State,34.0,34.0,33.9,4.6,9.0,0.507,0.9,2.4,0.395,1.9,2.5,0.753,0.7,2.7,3.4,5.2,1.9,0.4,1.3,1.1,11.9,https://www.sports-reference.com/cbb/players/monte-morris-1.html,Drafted,2014-15
67,Iowa State,35.0,35.0,38.0,5.4,11.0,0.48700000000000004,1.1,3.0,0.358,2.0,2.7,0.7290000000000001,0.7,3.2,3.9,6.9,1.8,0.3,1.6,1.6,13.8,https://www.sports-reference.com/cbb/players/monte-morris-1.html,Drafted,2015-16
68,Iowa State,35.0,35.0,35.3,6.2,13.3,0.465,1.5,4.1,0.37799999999999995,2.5,3.2,0.802,1.1,3.7,4.8,6.2,1.5,0.3,1.5,1.2,16.4,https://www.sports-reference.com/cbb/players/monte-morris-1.html,Drafted,2016-17
69,Xavier,6.0,0.0,7.2,0.3,1.7,0.2,0.0,0.5,0.0,0.7,1.0,0.667,0.3,0.5,0.8,1.0,0.3,0.0,1.5,0.8,1.3,https://www.sports-reference.com/cbb/players/edmond-sumner-1.html,Drafted,2014-15
70,Xavier,31.0,29.0,25.9,3.3,8.3,0.397,0.8,2.7,0.301,3.6,5.0,0.727,0.5,2.9,3.4,3.6,1.3,0.2,2.3,2.1,11.0,https://www.sports-reference.com/cbb/players/edmond-sumner-1.html,Drafted,2015-16
71,Xavier,22.0,19.0,31.7,4.6,9.6,0.479,0.5,2.0,0.273,4.5,6.2,0.735,0.5,3.6,4.1,4.8,1.2,0.7,2.3,2.6,14.3,https://www.sports-reference.com/cbb/players/edmond-sumner-1.html,Drafted,2016-17
72,Arizona,34.0,28.0,24.9,2.9,6.3,0.465,0.5,1.5,0.36,2.0,2.8,0.705,0.2,2.9,3.1,3.6,1.0,0.8,2.4,2.0,8.4,https://www.sports-reference.com/cbb/players/kadeem-allen-1.html,Drafted,2015-16
73,Arizona,34.0,33.0,30.0,3.1,6.9,0.45299999999999996,0.9,2.2,0.42700000000000005,2.5,3.4,0.741,0.4,3.7,4.0,3.0,1.6,0.6,2.4,1.9,9.8,https://www.sports-reference.com/cbb/players/kadeem-allen-1.html,Drafted,2016-17
74,California,31.0,12.0,20.0,3.0,7.1,0.425,1.0,3.0,0.32299999999999995,1.3,1.6,0.804,0.5,1.4,2.0,1.1,0.4,0.3,1.2,1.0,8.3,https://www.sports-reference.com/cbb/players/jabari-bird-1.html,Drafted,2013-14
75,California,23.0,21.0,28.2,4.0,9.1,0.43799999999999994,1.3,3.7,0.369,1.1,1.5,0.765,1.0,2.3,3.3,1.7,0.5,0.4,2.2,1.2,10.5,https://www.sports-reference.com/cbb/players/jabari-bird-1.html,Drafted,2014-15
76,California,33.0,22.0,26.8,3.8,8.2,0.461,1.8,4.5,0.409,0.9,1.4,0.674,0.8,2.6,3.3,0.9,0.5,0.3,1.7,0.8,10.4,https://www.sports-reference.com/cbb/players/jabari-bird-1.html,Drafted,2015-16
77,California,27.0,25.0,32.0,5.2,11.8,0.44,2.4,6.6,0.365,1.6,2.0,0.764,1.0,3.7,4.7,1.0,0.7,0.2,1.9,1.9,14.3,https://www.sports-reference.com/cbb/players/jabari-bird-1.html,Drafted,2016-17
78,Clemson,33.0,30.0,23.5,1.9,4.8,0.395,0.3,1.5,0.2,0.8,1.4,0.596,1.6,3.4,5.0,0.4,0.3,0.4,1.5,0.8,4.9,https://www.sports-reference.com/cbb/players/jaron-blossomgame-1.html,Drafted,2013-14
79,Clemson,31.0,31.0,30.9,4.6,9.5,0.486,0.5,1.9,0.28800000000000003,3.3,4.6,0.708,2.5,5.7,8.2,1.0,0.8,0.4,1.5,1.7,13.1,https://www.sports-reference.com/cbb/players/jaron-blossomgame-1.html,Drafted,2014-15
80,Clemson,31.0,31.0,34.2,6.5,12.6,0.513,1.5,3.3,0.446,4.3,5.5,0.782,1.8,4.9,6.7,1.5,0.7,1.3,2.0,1.8,18.7,https://www.sports-reference.com/cbb/players/jaron-blossomgame-1.html,Drafted,2015-16
81,Clemson,33.0,33.0,34.3,6.7,13.4,0.499,0.7,2.8,0.255,3.6,5.1,0.7140000000000001,1.8,4.5,6.3,1.5,0.8,0.9,1.6,1.7,17.7,https://www.sports-reference.com/cbb/players/jaron-blossomgame-1.html,Drafted,2016-17
82,LSU,33.0,32.0,34.9,6.5,11.7,0.56,0.0,0.1,0.33299999999999996,6.0,9.0,0.67,3.1,8.6,11.8,4.8,2.0,0.8,2.8,3.4,19.2,https://www.sports-reference.com/cbb/players/ben-simmons-1.html,Drafted,2015-16
83,Duke,36.0,34.0,34.6,5.9,13.4,0.442,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2.0,1.1,1.4,2.1,2.0,17.3,https://www.sports-reference.com/cbb/players/brandon-ingram-1.html,Drafted,2015-16
84,California,34.0,34.0,27.6,4.8,11.1,0.431,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.2,3.1,14.6,https://www.sports-reference.com/cbb/players/jaylen-brown-1.html,Drafted,2015-16
85,Kentucky,36.0,36.0,35.2,6.8,14.9,0.45399999999999996,3.1,7.7,0.408,3.3,4.2,0.7829999999999999,1.5,3.7,5.2,2.2,1.0,0.3,2.1,2.3,20.0,https://www.sports-reference.com/cbb/players/jamal-murray-1.html,Drafted,2015-16
86,Washington,34.0,34.0,24.9,5.3,9.9,0.53,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,4.1,2.0,13.7,https://www.sports-reference.com/cbb/players/marquese-chriss-1.html,Drafted,2015-16
87,Gonzaga,38.0,1.0,21.6,3.8,5.7,0.6679999999999999,0.0,0.0,,2.1,3.1,0.664,2.2,4.9,7.1,0.9,0.4,0.3,2.7,1.6,9.7,https://www.sports-reference.com/cbb/players/domantas-sabonis-1.html,Drafted,2014-15
88,Gonzaga,36.0,31.0,31.9,6.6,10.9,0.611,0.1,0.4,0.35700000000000004,4.2,5.4,0.769,3.1,8.8,11.8,1.8,0.6,0.9,3.2,2.6,17.6,https://www.sports-reference.com/cbb/players/domantas-sabonis-1.html,Drafted,2015-16
89,Baylor,24.0,0.0,6.4,1.5,2.5,0.583,0.1,0.3,0.33299999999999996,0.7,0.9,0.727,0.9,1.3,2.2,0.1,0.4,0.1,1.5,0.5,3.7,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,Drafted,2012-13
90,Baylor,38.0,2.0,14.3,2.1,4.5,0.465,0.4,1.1,0.366,1.6,2.3,0.7090000000000001,1.1,1.7,2.8,0.6,0.5,0.2,2.1,1.3,6.2,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,Drafted,2013-14
91,Baylor,33.0,6.0,26.3,5.1,10.7,0.47200000000000003,1.8,4.6,0.395,2.0,3.1,0.644,1.8,3.8,5.6,1.3,1.5,0.9,2.1,2.0,13.9,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,Drafted,2014-15
92,Baylor,34.0,34.0,30.6,5.5,12.7,0.43200000000000005,1.6,4.3,0.361,3.3,4.3,0.774,2.4,3.7,6.1,2.3,1.3,0.7,2.5,2.7,15.9,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,Drafted,2015-16
93,Vanderbilt,35.0,24.0,28.8,2.8,6.5,0.436,1.2,2.8,0.439,2.4,3.0,0.802,0.5,3.7,4.1,4.4,1.4,0.1,2.5,1.9,9.3,https://www.sports-reference.com/cbb/players/wade-baldwin-1.html,Drafted,2014-15
94,Vanderbilt,33.0,30.0,30.4,4.1,9.6,0.42700000000000005,1.2,3.1,0.406,4.7,5.9,0.799,0.4,3.6,4.0,5.2,1.2,0.3,2.6,2.8,14.1,https://www.sports-reference.com/cbb/players/wade-baldwin-1.html,Drafted,2015-16
95,Marquette,33.0,33.0,33.5,5.9,13.2,0.446,0.9,3.2,0.28800000000000003,4.3,5.8,0.7490000000000001,2.2,7.6,9.7,1.8,0.8,1.5,2.5,2.4,17.0,https://www.sports-reference.com/cbb/players/henry-ellenson-1.html,Drafted,2015-16
96,Florida State,34.0,33.0,29.8,5.4,11.6,0.47100000000000003,1.6,4.2,0.387,3.1,3.8,0.813,1.3,4.0,5.3,1.5,0.9,0.2,2.2,1.7,15.6,https://www.sports-reference.com/cbb/players/malik-beasley-1.html,Drafted,2015-16
97,Michigan,33.0,1.0,10.7,0.8,2.7,0.315,0.4,1.3,0.302,0.2,0.4,0.5,0.2,0.9,1.1,0.8,0.2,0.1,1.2,0.3,2.3,https://www.sports-reference.com/cbb/players/caris-levert-1.html,Drafted,2012-13
98,Michigan,37.0,37.0,34.0,4.4,10.0,0.439,1.6,4.0,0.408,2.5,3.2,0.767,0.5,3.8,4.3,2.9,1.2,0.3,1.7,1.7,12.9,https://www.sports-reference.com/cbb/players/caris-levert-1.html,Drafted,2013-14
99,Michigan,18.0,18.0,35.8,5.2,12.3,0.42100000000000004,1.8,4.4,0.405,2.8,3.5,0.81,0.3,4.6,4.9,3.7,1.8,0.4,1.7,2.2,14.9,https://www.sports-reference.com/cbb/players/caris-levert-1.html,Drafted,2014-15
100,Michigan,15.0,14.0,30.9,5.5,10.8,0.506,1.9,4.3,0.446,3.6,4.5,0.794,0.6,4.7,5.3,4.9,1.0,0.2,1.2,1.7,16.5,https://www.sports-reference.com/cbb/players/caris-levert-1.html,Drafted,2015-16
101,Syracuse,37.0,37.0,34.4,4.1,11.1,0.369,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.5,2.1,13.4,https://www.sports-reference.com/cbb/players/malachi-richardson-1.html,Drafted,2015-16
102,Kentucky,36.0,18.0,15.8,2.7,5.3,0.516,0.0,0.1,0.0,1.1,1.7,0.6609999999999999,1.0,2.2,3.1,0.3,0.3,1.6,3.0,0.9,6.6,https://www.sports-reference.com/cbb/players/skal-labissiere-1.html,Drafted,2015-16
