,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
2505,Oregon State,20,19,29.4,3.3,6.5,.508,0.1,0.1,.500,2.2,4.0,.556,2.3,8.0,10.2,1.4,0.7,1.9,2.5,2.2,8.9,https://basketball.realgm.com/player/Eric-Moreland/NCAA/23255/2014/By_Season/Per_Game,Undrafted,2013-14
2506,St. John's,33,32,29.0,5.5,11.1,.495,0.0,0.2,.200,1.8,3.3,.565,2.1,4.1,6.1,1.2,0.6,1.0,2.8,1.6,12.8,https://basketball.realgm.com/player/JaKarr-Sampson/NCAA/24175/2014/By_Season/Per_Game,Undrafted,2013-14
2507,St. John's,33,33,31.5,6.1,13.6,.449,0.0,0.2,.000,2.6,4.1,.640,2.2,4.4,6.6,1.1,1.1,1.1,2.8,2.0,14.9,https://basketball.realgm.com/player/JaKarr-Sampson/NCAA/24175/2013/By_Season/Per_Game,Undrafted,2012-13
2508,St. John's,33,32,29.0,5.5,11.1,.495,0.0,0.2,.200,1.8,3.3,.565,2.1,4.1,6.1,1.2,0.6,1.0,2.8,1.6,12.8,https://basketball.realgm.com/player/JaKarr-Sampson/NCAA/24175/2014/By_Season/Per_Game,Undrafted,2013-14
2509,UCLA,34,28,23.9,3.1,5.8,.530,0.3,0.7,.440,0.7,0.9,.833,1.0,2.2,3.2,1.4,0.7,0.7,3.1,0.4,7.2,https://basketball.realgm.com/player/Travis-Wear/NCAA/2208/2014/By_Season/Per_Game,Undrafted,2013-14
2510,UCLA,32,30,28.9,4.4,8.9,.493,0.1,0.4,.308,2.1,2.5,.815,1.6,3.6,5.2,0.5,0.7,1.0,2.7,1.4,10.9,https://basketball.realgm.com/player/Travis-Wear/NCAA/2208/2013/By_Season/Per_Game,Undrafted,2012-13
2511,UCLA,30,24,26.2,4.6,8.6,.533,0.1,0.2,.429,2.3,2.9,.791,2.9,3.1,5.9,0.4,0.7,1.2,2.4,1.1,11.5,https://basketball.realgm.com/player/Travis-Wear/NCAA/2208/2012/By_Season/Per_Game,Undrafted,2011-12
2512,North Carolina,32,1,10.1,1.3,3.2,0.413,0.1,0.2,0.33299999999999996,0.7,1.0,0.742,1.1,1.0,2.2,0.2,0.2,0.1,1.1,0.8,3.5,https://basketball.realgm.com/player/Travis-Wear/NCAA/2208/2010/By_Season/Per_Game,Undrafted,2009-10
2513,UCLA,34,28,23.9,3.1,5.8,.530,0.3,0.7,.440,0.7,0.9,.833,1.0,2.2,3.2,1.4,0.7,0.7,3.1,0.4,7.2,https://basketball.realgm.com/player/Travis-Wear/NCAA/2208/2014/By_Season/Per_Game,Undrafted,2013-14
2514,Western Michigan,31,31,31.8,6.1,11.5,.527,0.2,1.1,.182,3.8,4.9,.770,2.4,6.5,8.9,1.1,0.8,1.5,2.4,1.9,16.1,https://basketball.realgm.com/player/Shayne-Whittington/NCAA/11138/2014/By_Season/Per_Game,Undrafted,2013-14
2515,Western Michigan,35,35,29.7,4.8,9.5,.503,0.1,0.4,.133,3.6,4.5,.796,2.6,6.2,8.8,1.1,0.7,1.7,2.4,1.9,13.2,https://basketball.realgm.com/player/Shayne-Whittington/NCAA/11138/2013/By_Season/Per_Game,Undrafted,2012-13
2516,Western Michigan,32,7,14.1,1.6,2.9,.543,0.0,0.0,.000,1.0,1.5,.688,1.5,2.5,4.0,0.2,0.2,0.8,2.0,0.6,4.2,https://basketball.realgm.com/player/Shayne-Whittington/NCAA/11138/2012/By_Season/Per_Game,Undrafted,2011-12
2517,Western Michigan,16,0,5.9,0.6,1.4,.409,0.0,0.0,.000,0.2,0.6,.400,0.9,0.7,1.6,0.0,0.2,0.1,0.9,0.4,1.4,https://basketball.realgm.com/player/Shayne-Whittington/NCAA/11138/2010/By_Season/Per_Game,Undrafted,2009-10
2518,Western Michigan,31,31,31.8,6.1,11.5,.527,0.2,1.1,.182,3.8,4.9,.770,2.4,6.5,8.9,1.1,0.8,1.5,2.4,1.9,16.1,https://basketball.realgm.com/player/Shayne-Whittington/NCAA/11138/2014/By_Season/Per_Game,Undrafted,2013-14
2519,Towson,36,36,36.3,6.2,11.8,.529,0.4,1.2,.318,5.8,8.1,.713,2.3,8.9,11.2,3.6,0.7,1.2,2.9,3.4,18.7,https://basketball.realgm.com/player/Jerrelle-Benimon/NCAA/6089/2014/By_Season/Per_Game,Undrafted,2013-14
2520,Towson,31,31,36.0,6.1,11.4,.533,0.6,1.6,.408,4.3,6.6,.654,3.3,7.8,11.1,2.5,0.7,1.9,2.7,3.9,17.1,https://basketball.realgm.com/player/Jerrelle-Benimon/NCAA/6089/2013/By_Season/Per_Game,Undrafted,2012-13
