,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
0,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
1,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
4,Mohamed Bamba,C,-,-,-,-,-,-
5,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
6,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
7,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
8,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
9,Miles Bridges,SF,-,-,-,-,-,-
10,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
11,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
12,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
13,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
14,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
15,Wendell Carter,C-PF,-,-,-,-,-,-
16,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
17,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
18,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
19,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
20,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
21,Keenan Evans,PG,-,-,-,-,-,-
22,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
23,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
24,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
25,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
26,Isaac Haas,C,-,-,-,-,-,-
27,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
28,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
29,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
30,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
31,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
32,Jaren Jackson,PF-C,-,-,-,-,-,-
33,Justin Jackson,PF,-,-,-,-,-,-
34,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
35,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
36,Kevin Knox,SF,-,-,-,-,-,-
37,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
38,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
39,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
40,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
41,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
42,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
43,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
44,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
45,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
46,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
47,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
48,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
49,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
50,Michael Porter,SF-PF,-,-,-,-,-,-
51,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
52,Jerome Robinson,SG,-,-,-,-,-,-
53,Collin Sexton,PG,-,-,-,-,-,-
54,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
55,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
56,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
57,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
58,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
59,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
60,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
61,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
62,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
63,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
64,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
65,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
66,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
67,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
68,Trae Young,PG,-,-,-,-,-,-
69,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
70,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
71,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
72,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
73,Mohamed Bamba,C,-,-,-,-,-,-
74,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
75,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
76,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
77,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
78,Miles Bridges,SF,-,-,-,-,-,-
79,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
80,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
81,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
82,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
83,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
84,Wendell Carter,C-PF,-,-,-,-,-,-
85,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
86,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
87,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
88,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
89,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
90,Keenan Evans,PG,-,-,-,-,-,-
91,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
92,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
93,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
94,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
95,Isaac Haas,C,-,-,-,-,-,-
96,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
97,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
98,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
99,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
100,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
101,Jaren Jackson,PF-C,-,-,-,-,-,-
102,Justin Jackson,PF,-,-,-,-,-,-
103,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
104,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
105,Kevin Knox,SF,-,-,-,-,-,-
106,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
107,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
108,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
109,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
110,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
111,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
112,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
113,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
114,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
115,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
116,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
117,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
118,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
119,Michael Porter,SF-PF,-,-,-,-,-,-
120,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
121,Jerome Robinson,SG,-,-,-,-,-,-
122,Collin Sexton,PG,-,-,-,-,-,-
123,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
124,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
125,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
126,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
127,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
128,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
129,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
130,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
131,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
132,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
133,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
134,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
135,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
136,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
137,Trae Young,PG,-,-,-,-,-,-
138,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
139,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
140,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
141,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
142,Mohamed Bamba,C,-,-,-,-,-,-
143,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
144,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
145,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
146,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
147,Miles Bridges,SF,-,-,-,-,-,-
148,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
149,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
150,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
151,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
152,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
153,Wendell Carter,C-PF,-,-,-,-,-,-
154,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
155,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
156,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
157,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
158,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
159,Keenan Evans,PG,-,-,-,-,-,-
160,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
161,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
162,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
163,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
164,Isaac Haas,C,-,-,-,-,-,-
165,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
166,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
167,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
168,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
169,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
170,Jaren Jackson,PF-C,-,-,-,-,-,-
171,Justin Jackson,PF,-,-,-,-,-,-
172,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
173,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
174,Kevin Knox,SF,-,-,-,-,-,-
175,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
176,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
177,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
178,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
179,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
180,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
181,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
182,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
183,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
184,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
185,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
186,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
187,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
188,Michael Porter,SF-PF,-,-,-,-,-,-
189,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
190,Jerome Robinson,SG,-,-,-,-,-,-
191,Collin Sexton,PG,-,-,-,-,-,-
192,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
193,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
194,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
195,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
196,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
197,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
198,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
199,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
200,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
201,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
202,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
203,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
204,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
205,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
206,Trae Young,PG,-,-,-,-,-,-
207,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
208,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
209,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
210,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
211,Mohamed Bamba,C,-,-,-,-,-,-
212,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
213,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
214,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
215,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
216,Miles Bridges,SF,-,-,-,-,-,-
217,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
218,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
219,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
220,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
221,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
222,Wendell Carter,C-PF,-,-,-,-,-,-
223,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
224,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
225,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
226,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
227,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
228,Keenan Evans,PG,-,-,-,-,-,-
229,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
230,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
231,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
232,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
233,Isaac Haas,C,-,-,-,-,-,-
234,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
235,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
236,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
237,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
238,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
239,Jaren Jackson,PF-C,-,-,-,-,-,-
240,Justin Jackson,PF,-,-,-,-,-,-
241,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
242,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
243,Kevin Knox,SF,-,-,-,-,-,-
244,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
245,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
246,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
247,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
248,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
249,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
250,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
251,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
252,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
253,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
254,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
255,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
256,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
257,Michael Porter,SF-PF,-,-,-,-,-,-
258,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
259,Jerome Robinson,SG,-,-,-,-,-,-
260,Collin Sexton,PG,-,-,-,-,-,-
261,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
262,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
263,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
264,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
265,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
266,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
267,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
268,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
269,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
270,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
271,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
272,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
273,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
274,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
275,Trae Young,PG,-,-,-,-,-,-
276,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
277,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
278,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
279,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
280,Mohamed Bamba,C,-,-,-,-,-,-
281,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
282,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
283,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
284,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
285,Miles Bridges,SF,-,-,-,-,-,-
286,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
287,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
288,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
289,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
290,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
291,Wendell Carter,C-PF,-,-,-,-,-,-
292,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
293,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
294,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
295,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
296,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
297,Keenan Evans,PG,-,-,-,-,-,-
298,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
299,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
300,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
301,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
302,Isaac Haas,C,-,-,-,-,-,-
303,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
304,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
305,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
306,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
307,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
308,Jaren Jackson,PF-C,-,-,-,-,-,-
309,Justin Jackson,PF,-,-,-,-,-,-
310,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
311,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
312,Kevin Knox,SF,-,-,-,-,-,-
313,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
314,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
315,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
316,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
317,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
318,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
319,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
320,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
321,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
322,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
323,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
324,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
325,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
326,Michael Porter,SF-PF,-,-,-,-,-,-
327,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
328,Jerome Robinson,SG,-,-,-,-,-,-
329,Collin Sexton,PG,-,-,-,-,-,-
330,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
331,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
332,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
333,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
334,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
335,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
336,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
337,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
338,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
339,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
340,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
341,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
342,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
343,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
344,Trae Young,PG,-,-,-,-,-,-
345,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
346,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
347,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
348,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
349,Mohamed Bamba,C,-,-,-,-,-,-
350,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
351,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
352,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
353,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
354,Miles Bridges,SF,-,-,-,-,-,-
355,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
356,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
357,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
358,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
359,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
360,Wendell Carter,C-PF,-,-,-,-,-,-
361,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
362,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
363,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
364,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
365,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
366,Keenan Evans,PG,-,-,-,-,-,-
367,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
368,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
369,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
370,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
371,Isaac Haas,C,-,-,-,-,-,-
372,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
373,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
374,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
375,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
376,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
377,Jaren Jackson,PF-C,-,-,-,-,-,-
378,Justin Jackson,PF,-,-,-,-,-,-
379,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
380,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
381,Kevin Knox,SF,-,-,-,-,-,-
382,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
383,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
384,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
385,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
386,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
387,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
388,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
389,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
390,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
391,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
392,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
393,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
394,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
395,Michael Porter,SF-PF,-,-,-,-,-,-
396,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
397,Jerome Robinson,SG,-,-,-,-,-,-
398,Collin Sexton,PG,-,-,-,-,-,-
399,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
400,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
401,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
402,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
