,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
5697,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
5698,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
5699,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
5700,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
5701,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
5702,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
5703,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
5704,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
5705,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
5706,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
5707,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
5708,Michael Porter,SF-PF,-,-,-,-,-,-
5709,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
5710,Jerome Robinson,SG,-,-,-,-,-,-
5711,Collin Sexton,PG,-,-,-,-,-,-
5712,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
5713,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
5714,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
5715,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
5716,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
5717,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
5718,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
5719,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
5720,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
5721,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
5722,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
5723,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
5724,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
5725,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
5726,Trae Young,PG,-,-,-,-,-,-
5727,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
