,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
935,Mitchell Robinson,New York Knicks,,2018,2,6,36
936,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
937,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
938,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
939,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
940,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
941,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
942,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
943,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
944,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
945,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
946,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
947,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
948,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
949,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
950,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
951,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
952,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
953,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
954,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
955,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
956,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
957,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
958,George King,Phoenix Suns,Colorado,2018,2,29,59
959,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
960,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
961,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
962,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
963,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
964,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
965,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
966,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
967,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
968,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
969,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
970,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
971,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
972,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
973,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
974,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
975,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
976,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
977,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
978,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
979,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
980,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
981,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
982,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
983,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
984,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
985,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
986,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
987,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
988,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
989,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
990,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
991,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
992,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
993,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
994,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
995,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
996,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
997,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
998,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
999,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
1000,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
1001,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
1002,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
1003,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
1004,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
1005,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
1006,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
1007,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
1008,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
1009,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
1010,Mitchell Robinson,New York Knicks,,2018,2,6,36
1011,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
1012,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
1013,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
1014,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
1015,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
1016,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
1017,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
1018,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
1019,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
1020,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
1021,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
1022,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
1023,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
1024,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
1025,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
1026,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
1027,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
1028,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
1029,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
1030,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
1031,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
1032,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
1033,George King,Phoenix Suns,Colorado,2018,2,29,59
1034,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
1035,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
1036,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
1037,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
1038,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
1039,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
1040,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
1041,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
1042,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
1043,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
1044,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
1045,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
1046,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
1047,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
1048,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
1049,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
1050,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
1051,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
1052,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
1053,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
1054,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
1055,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
1056,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
1057,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
1058,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
1059,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
1060,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
1061,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
1062,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
1063,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
1064,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
1065,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
1066,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
1067,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
1068,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
1069,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
1070,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
1071,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
1072,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
1073,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
1074,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
1075,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
1076,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
1077,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
1078,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
1079,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
1080,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
1081,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
1082,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
1083,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
1084,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
1085,Mitchell Robinson,New York Knicks,,2018,2,6,36
1086,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
1087,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
1088,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
1089,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
1090,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
1091,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
1092,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
1093,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
1094,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
1095,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
1096,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
1097,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
1098,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
1099,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
1100,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
1101,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
1102,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
1103,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
1104,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
1105,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
1106,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
1107,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
1108,George King,Phoenix Suns,Colorado,2018,2,29,59
1109,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
1110,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
1111,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
1112,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
1113,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
1114,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
1115,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
1116,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
1117,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
1118,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
1119,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
1120,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
1121,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
1122,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
1123,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
1124,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
1125,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
1126,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
1127,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
1128,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
1129,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
1130,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
1131,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
1132,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
1133,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
1134,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
1135,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
1136,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
1137,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
1138,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
1139,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
1140,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
1141,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
1142,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
1143,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
1144,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
1145,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
1146,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
1147,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
1148,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
1149,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
1150,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
1151,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
1152,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
1153,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
1154,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
1155,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
1156,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
1157,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
1158,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
1159,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
1160,Mitchell Robinson,New York Knicks,,2018,2,6,36
1161,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
1162,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
1163,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
1164,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
1165,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
1166,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
1167,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
1168,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
1169,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
1170,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
1171,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
1172,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
1173,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
1174,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
1175,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
1176,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
1177,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
1178,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
1179,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
1180,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
1181,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
1182,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
1183,George King,Phoenix Suns,Colorado,2018,2,29,59
1184,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
1185,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
1186,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
1187,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
1188,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
1189,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
1190,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
1191,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
1192,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
1193,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
1194,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
1195,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
1196,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
1197,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
1198,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
1199,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
1200,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
1201,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
1202,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
1203,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
1204,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
1205,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
1206,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
1207,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
1208,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
1209,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
1210,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
1211,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
1212,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
1213,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
1214,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
1215,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
1216,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
1217,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
1218,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
1219,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
1220,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
1221,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
1222,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
1223,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
1224,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
1225,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
1226,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
1227,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
1228,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
1229,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
1230,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
1231,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
1232,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
1233,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
1234,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
1235,Mitchell Robinson,New York Knicks,,2018,2,6,36
1236,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
1237,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
1238,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
1239,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
1240,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
1241,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
1242,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
1243,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
1244,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
1245,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
1246,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
1247,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
1248,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
1249,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
1250,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
1251,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
1252,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
1253,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
1254,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
1255,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
1256,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
1257,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
1258,George King,Phoenix Suns,Colorado,2018,2,29,59
1259,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
1260,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
1261,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
1262,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
1263,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
1264,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
1265,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
1266,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
1267,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
1268,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
1269,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
1270,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
1271,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
1272,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
1273,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
1274,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
1275,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
1276,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
1277,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
1278,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
1279,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
1280,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
1281,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
1282,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
1283,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
1284,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
1285,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
1286,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
1287,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
1288,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
1289,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
1290,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
1291,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
1292,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
1293,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
1294,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
1295,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
1296,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
1297,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
1298,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
1299,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
1300,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
1301,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
1302,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
1303,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
1304,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
1305,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
1306,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
1307,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
1308,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
