,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
86,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
87,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
88,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
89,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
90,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
91,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
92,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
93,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
94,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
95,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
96,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
97,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
98,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
99,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
100,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
101,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
102,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
103,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
104,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
105,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
106,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
107,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
108,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
109,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
110,Mitchell Robinson,New York Knicks,,2018,2,6,36
111,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
112,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
113,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
114,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
115,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
116,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
117,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
118,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
119,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
120,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
121,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
122,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
123,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
124,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
125,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
126,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
127,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
128,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
129,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
130,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
131,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
132,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
133,George King,Phoenix Suns,Colorado,2018,2,29,59
134,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
135,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
136,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
137,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
138,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
139,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
140,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
141,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
142,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
143,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
144,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
145,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
146,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
147,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
148,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
149,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
