,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
0,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
2,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
3,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
4,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
6,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
7,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
8,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
9,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
10,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
11,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
12,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
13,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
14,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
15,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
16,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
17,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
18,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
19,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
20,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
21,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
22,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
23,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
24,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
25,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
26,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
27,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
28,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
29,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
30,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
31,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
32,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
33,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
34,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
35,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
36,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
37,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
38,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
39,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
40,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
41,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
42,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
43,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
44,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
45,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
46,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
47,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
48,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
49,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
50,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
51,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
52,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
53,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
54,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
55,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
56,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
57,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
58,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
59,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
60,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
61,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
62,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
63,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
64,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
65,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
66,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
67,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
68,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
69,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
70,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
71,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
72,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
73,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
74,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
75,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
76,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
77,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
78,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
79,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
80,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
81,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
82,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
83,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
84,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
85,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
86,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
87,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
88,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
89,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
90,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
91,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
92,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
93,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
94,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
95,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
96,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
97,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
98,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
99,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
100,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
101,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
102,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
103,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
104,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
105,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
106,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
107,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
108,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
109,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
110,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
111,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
112,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
113,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
114,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
115,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
116,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
117,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
118,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
119,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
120,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
121,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
122,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
123,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
124,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
125,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
126,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
127,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
128,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
129,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
130,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
131,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
132,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
133,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
134,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
135,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
136,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
137,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
138,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
139,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
140,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
141,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
142,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
143,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
144,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
145,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
146,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
147,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
148,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
149,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
150,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
151,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
152,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
153,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
154,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
155,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
156,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
157,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
158,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
159,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
160,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
161,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
162,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
163,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
164,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
165,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
166,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
167,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
168,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
169,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
170,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
171,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
172,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
173,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
174,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
175,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
176,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
177,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
178,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
179,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
180,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
181,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
182,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
183,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
184,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
185,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
186,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
187,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
188,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
189,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
190,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
191,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
192,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
193,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
194,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
195,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
196,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
197,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
198,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
199,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
200,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
201,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
202,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
203,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
204,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
205,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
206,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
207,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
208,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
209,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
210,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
211,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
212,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
213,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
214,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
215,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
216,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
217,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
218,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
219,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
220,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
221,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
222,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
223,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
224,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
225,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
226,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
227,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
228,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
229,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
230,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
231,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
232,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
233,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
234,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
235,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
236,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
237,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
238,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
239,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
240,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
241,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
242,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
243,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
244,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
245,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
246,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
247,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
248,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
249,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
250,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
251,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
252,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
253,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
254,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
255,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
256,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
257,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
258,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
259,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
260,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
261,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
262,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
263,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
264,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
265,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
266,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
267,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
268,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
269,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
270,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
271,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
272,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
273,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
274,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
275,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
276,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
277,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
278,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
279,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
280,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
281,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
282,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
283,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
284,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
285,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
286,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
287,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
288,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
289,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
290,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
291,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
292,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
293,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
294,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
295,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
296,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
297,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
298,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
299,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
300,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
301,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
302,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
303,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
304,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
305,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
306,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
307,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
308,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
309,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
310,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
311,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
312,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
313,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
314,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
315,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
316,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
317,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
318,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
319,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
320,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
321,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
322,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
323,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
324,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
