,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
4313,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
4314,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
4315,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
4316,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
4317,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
4318,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
4319,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
4320,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
4321,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
4322,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
4323,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
4324,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
4325,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
4326,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
4327,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
4328,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
4329,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
4330,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
4331,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
4332,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
4333,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4334,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4335,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
4336,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
4337,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
4338,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
4339,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
