,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
29,UNC,38,0,14.6,2.7,4.7,0.573,0,0,,1.7,2.8,0.619,2.6,2.6,5.1,0.6,0.3,0.6,1.8,0.7,7.1,https://www.sports-reference.com/cbb/players/tony-bradley-1.html,Drafted,2016-17,1/1/2016,1/1/2017
30,Colorado,34,32,32.8,6,11.9,0.507,1.7,4.2,0.396,4.4,5.4,0.813,1,3.1,4.1,4.4,1.2,1.4,2.1,2.4,18.1,https://www.sports-reference.com/cbb/players/derrick-white-1.html,Drafted,2016-17,1/1/2016,1/1/2017
31,Duke,36,16,24.9,3.7,7.8,0.473,1.4,3.6,0.395,2.1,2.8,0.755,0.6,1.9,2.5,1.7,0.6,0.1,2.4,1.4,10.9,https://www.sports-reference.com/cbb/players/frank-jackson-2.html,Drafted,2016-17,1/1/2016,1/1/2017
35,Miami (FL),33,33,35.3,4.9,11.3,0.433,2.4,6,0.397,2.7,3.3,0.833,0.8,3.9,4.8,2.4,1.3,0.5,1.6,2,14.9,https://www.sports-reference.com/cbb/players/davon-reed-1.html,Drafted,2016-17,1/1/2016,1/1/2017
39,Kansas State,35,35,31.4,4.3,9,0.481,0.9,2.4,0.376,3.5,4.5,0.767,1,5.3,6.3,3.5,1,0.3,1.8,2.3,13,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Drafted,2016-17,1/1/2016,1/1/2017
41,California,31,30,32.6,4.9,10.1,0.484,0.3,0.6,0.4,4,6,0.663,3,7.4,10.5,1.5,0.7,1,3.1,2.2,14,https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,Drafted,2016-17,1/1/2016,1/1/2017
47,Oregon,39,38,28.8,4.4,6.9,0.636,0.1,0.4,0.214,2.1,3,0.701,2.9,5.9,8.8,1.8,1.3,2.3,1.7,1.9,10.9,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,Drafted,2016-17,1/1/2016,1/1/2017
49,Oklahoma State,32,32,29.3,6.6,15.1,0.438,1.1,3,0.379,4.8,6,0.812,0.8,2.7,3.4,6.4,1.8,0.1,2.3,2.8,19.2,https://www.sports-reference.com/cbb/players/jawun-evans-1.html,Drafted,2016-17,1/1/2016,1/1/2017
51,Florida State,35,35,28.8,6.3,14,0.452,1.6,4.9,0.333,3,3.9,0.754,1,3.2,4.2,1.7,1,0.1,1.6,2,17.2,https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,Drafted,2016-17,1/1/2016,1/1/2017
53,Oregon,39,39,30,4.8,10.4,0.467,2.3,5.3,0.423,2.7,3.6,0.755,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html,Drafted,2016-17,1/1/2016,1/1/2017
55,Indiana,34,34,28.1,4.4,8.4,0.519,0.7,1.8,0.383,3.2,4.4,0.73,2.2,4.4,6.6,1.5,0.8,1.5,3.1,2.3,12.6,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,Drafted,2016-17,1/1/2016,1/1/2017
59,Houston,32,32,34.3,6.3,13.4,0.47,3.4,7.6,0.443,1.4,1.7,0.83,1.5,5.4,6.9,1.1,0.9,0.2,1.7,1,17.4,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,Drafted,2016-17,1/1/2016,1/1/2017
