,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
3128,Gonzaga,36,36,33.6,7.2,14.7,0.491,2.5,5.7,0.437,3.5,4.1,0.857,1.7,4.6,6.3,1.5,0.4,0.8,1.8,2.1,20.4,https://basketball.realgm.com/player/Kyle-Wiltjer/NCAA/24155/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3129,Washington,34,34,33.8,5.3,13.5,0.393,2.3,5.6,0.401,8,9.4,0.85,1.5,4.3,5.7,4.9,1.4,0,2.8,2.8,20.9,https://basketball.realgm.com/player/Andrew-Andrews/NCAA/30401/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3133,Washington,34,34,33.8,5.3,13.5,0.393,2.3,5.6,0.401,8,9.4,0.85,1.5,4.3,5.7,4.9,1.4,0,2.8,2.8,20.9,https://basketball.realgm.com/player/Andrew-Andrews/NCAA/30401/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3134,NC State,33,33,38.7,7.5,17.3,0.434,1.3,3.6,0.361,7.2,8.3,0.865,0.6,3.9,4.6,4.5,0.6,0.1,2.2,2.6,23.5,https://basketball.realgm.com/player/Cat-Barber/NCAA/24670/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3137,NC State,33,33,38.7,7.5,17.3,0.434,1.3,3.6,0.361,7.2,8.3,0.865,0.6,3.9,4.6,4.5,0.6,0.1,2.2,2.6,23.5,https://basketball.realgm.com/player/Cat-Barber/NCAA/24670/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3138,Valparaiso,36,36,25.1,2.3,4.6,0.509,0,0,0,1,1.9,0.5,2.8,4.5,7.2,0.5,0.4,3.3,3.1,1.2,5.6,https://basketball.realgm.com/player/Vashil-Fernandez/NCAA/30920/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3142,Valparaiso,36,36,25.1,2.3,4.6,0.509,0,0,0,1,1.9,0.5,2.8,4.5,7.2,0.5,0.4,3.3,3.1,1.2,5.6,https://basketball.realgm.com/player/Vashil-Fernandez/NCAA/30920/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3143,Northeastern,29,29,34.8,5.4,13.3,0.409,2.2,6.4,0.348,3.3,4.4,0.744,1.6,5.4,7,2.6,1.5,0.9,2.1,2.2,16.4,https://basketball.realgm.com/player/Quincy-Ford/NCAA/31256/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3148,Northeastern,29,29,34.8,5.4,13.3,0.409,2.2,6.4,0.348,3.3,4.4,0.744,1.6,5.4,7,2.6,1.5,0.9,2.1,2.2,16.4,https://basketball.realgm.com/player/Quincy-Ford/NCAA/31256/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3149,Old Dominion,38,38,35.1,8.5,19.8,0.429,1.3,3.8,0.349,3.7,4.5,0.829,0.6,3.7,4.2,3,1,0.1,1.8,1.3,22.1,https://basketball.realgm.com/player/Trey-Freeman/NCAA/31159/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3153,Old Dominion,38,38,35.1,8.5,19.8,0.429,1.3,3.8,0.349,3.7,4.5,0.829,0.6,3.7,4.2,3,1,0.1,1.8,1.3,22.1,https://basketball.realgm.com/player/Trey-Freeman/NCAA/31159/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3154,LSU,20,19,30.4,4.5,9.1,0.489,1.9,4.7,0.415,2.2,2.8,0.818,0.3,2.5,2.9,1.6,1.2,0.1,1.7,1.2,13.1,https://basketball.realgm.com/player/Keith-Hornsby/NCAA/31196/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
